"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","question_order","filename","category","cluster_id","spectral_centroid"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","","","","","","","",""
"","","","","","html-keyboard-response","1","3529","0.0-1.0","3510","
            <h3>実験にご協力ありがとうございます。</h3>
            <p>これから短い通知音が流れます。</p>
            <p>音が聞こえたら、その音に対するあなたの印象を回答してください。</p>
            <p>スペースキーを押すと始まります。</p>
        "," ","","","","",""
"","","","","","html-keyboard-response","2","4030","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","3","4223","0.0-2.0-1.0","null","../../data/raw_audio/UI/ui_00007.wav","null","","","","",""
"","","","","","survey-likert","4","15441","0.0-2.0-2.0","11216","","{""pleasantness"":2,""annoyance"":5}","[0,1]","ui_00007.wav","UI","13","6711.338850218319"
"","","","","","html-keyboard-response","5","15942","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","6","17946","0.0-2.0-1.1","null","../../data/raw_audio/info/info00263.wav","null","","","","",""
"","","","","","survey-likert","7","23791","0.0-2.0-2.1","5844","","{""pleasantness"":4,""annoyance"":1}","[0,1]","info00263.wav","info","1","1665.5802825155563"
"","","","","","html-keyboard-response","8","24293","0.0-2.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","9","25777","0.0-2.0-1.2","null","../../data/raw_audio/info/info00040.wav","null","","","","",""
"","","","","","survey-likert","10","33475","0.0-2.0-2.2","7697","","{""pleasantness"":4,""annoyance"":3}","[0,1]","info00040.wav","info","10","700.5967298705572"
"","","","","","html-keyboard-response","11","33977","0.0-2.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","12","34942","0.0-2.0-1.3","null","../../data/raw_audio/UI/ui_00032.wav","null","","","","",""
"","","","","","survey-likert","13","40243","0.0-2.0-2.3","5300","","{""pleasantness"":5,""annoyance"":1}","[0,1]","ui_00032.wav","UI","19","1388.1102170456809"
"","","","","","html-keyboard-response","14","40744","0.0-2.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","15","41223","0.0-2.0-1.4","null","../../data/raw_audio/info/info00158.wav","null","","","","",""
"","","","","","survey-likert","16","46824","0.0-2.0-2.4","5600","","{""pleasantness"":4,""annoyance"":4}","[0,1]","info00158.wav","info","8","1805.0331563136488"
"","","","","","html-keyboard-response","17","47325","0.0-2.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","18","49310","0.0-2.0-1.5","null","../../data/raw_audio/soundfx/soundfx_00003.wav","null","","","","",""
"","","","","","survey-likert","19","54641","0.0-2.0-2.5","5330","","{""pleasantness"":5,""annoyance"":4}","[0,1]","soundfx_00003.wav","soundfx","11","3908.2675011829806"
"","","","","","html-keyboard-response","20","55143","0.0-2.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","21","57030","0.0-2.0-1.6","null","../../data/raw_audio/info/info00151.wav","null","","","","",""
"","","","","","survey-likert","22","63790","0.0-2.0-2.6","6759","","{""pleasantness"":1,""annoyance"":5}","[0,1]","info00151.wav","info","16","8824.614102202713"
"","","","","","html-keyboard-response","23","64292","0.0-2.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","24","64553","0.0-2.0-1.7","null","../../data/raw_audio/products/mmhmm/copilot_connected.wav","null","","","","",""
"","","","","","survey-likert","25","72406","0.0-2.0-2.7","7852","","{""pleasantness"":3,""annoyance"":4}","[0,1]","copilot_connected.wav","products/mmhmm","0","2955.807246136458"
"","","","","","html-keyboard-response","26","72907","0.0-2.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","27","73023","0.0-2.0-1.8","null","../../data/raw_audio/UI/ui_00006.wav","null","","","","",""
"","","","","","survey-likert","28","80274","0.0-2.0-2.8","7251","","{""pleasantness"":3,""annoyance"":3}","[0,1]","ui_00006.wav","UI","2","7144.356307638523"
"","","","","","html-keyboard-response","29","80775","0.0-2.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","30","80923","0.0-2.0-1.9","null","../../data/raw_audio/UI/ui_00008.wav","null","","","","",""
